"","Q1...Answer....hs.al.sk....Ukrainaa.on.tuettava.sodassa.ja.jälleenrakennuksessa.kustannuksista.huolimatta.","Q2...Answer....hs....Suomen.on.käytettävä.puolustukseen.rahaa.vähintään.Naton.tavoitteen.verran.","Q3...Answer....hs....Peruskoulussa.pitää.rajoittaa.lailla.oppilaiden.määrää.yhtä.opettajaa.kohden..vaikka.se.tarkoittaisi.säästöjä.muualta..veronkorotuksia.tai.lisää.velkaa.","Q4...Answer....hs.al.sk....Suomeen.on.perustettava.huumeiden.käyttöhuoneita.","Q5...Answer....hs....Valtion.on.annettava.suunniteltua.enemmän.rahaa.sosiaali..ja.terveydenhuoltoon..vaikka.se.tarkoittaisi.säästöjä.muualta..veronkorotuksia.tai.lisää.velkaa.","Q6...Answer....hs.al.sk....Nuorisorikollisuutta.on.pyrittävä.kitkemään.ensisijaisesti.muilla.keinoilla.kuin.rangaistuksia.koventamalla.","Q7...Answer....hs.al.sk....Työttömiä.pitää.saada.nykyistä.enemmän.töihin.heikentämällä.ansiosidonnaista.työttömyysturvaa.","Q8...Answer....hs.al.sk....Suomeen.on.houkuteltava.aktiivisemmin.ulkomaisia.työntekijöitä.","Q9...Answer....hs.al.sk....Valtion.velkaantumista.tulee.hillitä..vaikka.se.merkitsisi.leikkauksia.etuuksiin.tai.palveluihin.","Q10...Answer....hs....Palkkojen.verotusta.pitää.alentaa..vaikka.se.johtaisi.palveluiden.leikkauksiin..muun.verotuksen.kiristämiseen.tai.velan.kasvuun.","Q11...Answer....hs....Valtion.pitää.tukea.enemmän.kansalaisia..jotka.kärsivät.energian.hinnan.noususta..vaikka.se.kiihdyttäisi.inflaatiota.tai.heikentäisi.valtion.taloutta.","Q12...Answer....hs.al.sk....Hakkuita.pitää.vähentää.valtion.metsissä.luontokadon.ja.ilmastonmuutoksen.torjumiseksi.","Q13...Answer....hs.al.sk....Suomen.on.lykättävä.hiilineutraaliustavoitettaan.kauemmaksi.vuodesta.2035.","Q14...Answer....hs....Helsingissä.ja.muissa.suurissa.kaupungeissa.on.otettava.käyttöön.ruuhkamaksu.","Q15...Answer....hs.al.sk....Turkistarhaus.on.kiellettävä.Suomessa.","Q16...Answer....hs.al.sk....Jos.on.pakko.valita..on.parempi.korottaa.veroja.kuin.leikata.julkisia.palveluita.ja.sosiaalietuuksia","Q17...Answer....hs.al.sk....Suuret.tuloerot.ovat.hyväksyttäviä..jotta.erot.ihmisten.lahjakkuudessa.ja.ahkeruudessa.voidaan.palkita.","Q18...Answer....hs....Valtion.pitäisi.puuttua.nykyistä.voimakkaammin.markkinoiden.toimintaan..jotta.talous.olisi.kaikille.reilu..","Q19...Answer....hs.al.sk....Suomessa.on.liian.helppo.elää.sosiaaliturvan.varassa.","Q20...Answer....hs.al.sk....Valtion.ja.kuntien.omistusta.yritystoiminnassa.tulisi.vähentää.","Q21...Answer....hs.al.sk....Suomen.muuttuminen.aiempaa.monikulttuurisemmaksi.ja.monimuotoisemmaksi.on.hyvä.asia.","Q22...Answer....hs.al.sk....Kristilliset.arvot.ovat.hyvä.pohja.poliittiselle.päätöksenteolle.","Q23...Answer....hs....Sukupuolen.moninaisuus.pitäisi.ottaa.huomioon.Suomessa.nykyistä.paremmin.","Q24...Answer....hs.al.sk....Selkeitä.rajoja.ja.kuria.tarvitaan.nykyistä.enemmän.lasten.kasvattamisessa.","Q25...Answer....hs.al.sk....Suomen.pitäisi.vähentää.omia.päästöjään.riippumatta.siitä..mitä.muut.maat.tekevät.","Q26...Answer....hs.al.sk....Poliitikkojen.on.asetettava.Suomen.ja.suomalaisten.etu.kaiken.muun.edelle.","Q27...Answer....hs.al.sk....Ympäristön.etu.tulisi.asettaa.talouskasvun.ja.työpaikkojen.luomisen.edelle..jos.ne.ovat.keskenään.ristiriidassa.","Q28...Answer....hs....Maamme.kaipaa.vahvoja.johtajia..jotka.pystyvät.tekemään.vaikeitakin.päätöksiä.välittämättä.liikaa.muiden.mielipiteistä.","Q29...Answer....hs....Koko.Suomi.tulee.pitää.asutettuna..vaikka.siitä.koituisi.kustannuksia.","Q30...Answer....hs.al.sk....Suomen.kaupungistuminen.on.hyvä.asia."
"34",4,4,2,4,4,4,1,5,2,3,4,2,2,3,4,4,4,2,2,2,4,3,4,2,4,4,3,2,5,4
"35",4,5,2,2,4,4,4,5,4,4,2,2,2,2,1,2,2,1,2,4,5,3,4,2,4,3,2,1,4,3
"36",1,5,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,1,1,3,1,5,5,5,5,5,5,1
"37",4,4,2,1,4,4,2,3,4,2,4,1,2,1,2,4,2,2,4,3,2,4,2,4,2,5,2,2,5,2
"38",4,5,2,1,2,4,4,1,5,4,2,2,5,2,1,1,5,1,5,4,1,4,1,5,1,5,1,5,1,2
"39",5,5,4,1,4,2,4,4,5,2,2,4,5,2,3,1,3,1,5,3,2,5,1,4,2,4,4,2,4,3
"40",5,5,2,4,2,5,4,5,5,4,1,3,1,1,5,1,4,1,3,5,4,2,4,3,4,3,3,4,2,4
"41",4,NA,NA,3,3,1,1,NA,1,2,NA,NA,NA,NA,5,1,1,NA,5,NA,5,3,NA,3,3,3,3,4,3,2
"42",5,4,4,4,4,4,4,5,4,2,3,4,1,2,5,3,4,2,4,4,4,2,4,3,4,3,4,4,2,4
"43",5,5,4,4,4,5,4,5,4,2,4,4,2,1,4,2,4,2,4,4,5,4,5,4,5,5,2,4,2,2
"44",1,5,1,1,5,1,1,1,5,1,1,5,1,4,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,1
"45",4,4,2,4,4,4,1,5,2,1,4,4,1,3,5,2,2,2,2,2,4,4,3,2,4,3,3,2,4,4
"46",4,5,5,4,4,4,4,4,5,4,4,4,3,4,4,2,4,2,3,2,4,4,4,4,2,4,4,5,4,2
"47",4,4,4,3,5,5,3,4,5,3,2,3,2,2,3,3,2,2,2,3,4,5,1,3,4,2,4,2,4,3
"48",5,2,5,4,5,5,1,4,1,1,4,4,1,5,5,5,1,2,1,1,5,2,5,2,5,2,4,1,4,5
"49",5,5,5,4,4,4,4,4,4,4,2,2,3,1,5,3,3,2,2,4,4,4,5,4,4,5,4,4,4,3
"50",5,4,5,5,5,5,1,5,1,1,5,5,1,4,5,5,1,5,1,1,5,1,5,1,5,1,4,1,4,4
"51",5,4,5,2,5,5,1,4,2,2,5,5,1,4,5,5,1,5,1,1,5,1,5,3,5,1,4,1,4,2
"52",5,5,5,5,2,5,2,5,5,2,1,5,1,3,5,3,4,1,1,4,5,3,5,2,5,1,4,4,4,5
"53",5,4,5,5,3,5,1,5,2,2,3,5,1,5,5,4,2,2,1,2,4,2,5,2,5,2,5,2,2,5
"54",5,5,5,2,5,4,5,4,5,4,2,1,5,4,4,1,5,1,5,2,1,4,2,4,1,5,1,5,5,4
"55",2,1,3,5,3,4,2,1,2,4,1,2,5,1,5,4,2,1,1,3,2,2,2,1,1,5,5,1,5,2
"56",4,5,4,1,4,4,4,4,4,4,4,1,5,4,1,2,4,4,3,2,2,4,2,4,2,5,3,4,5,2
"57",4,4,5,5,5,5,1,5,2,2,5,5,1,4,5,5,1,5,2,2,5,1,5,3,5,2,4,1,4,4
"58",4,5,4,NA,4,4,1,5,2,2,4,4,1,3,5,4,1,1,1,1,5,3,3,2,5,2,4,1,5,5
"59",4,5,5,1,5,2,1,1,5,4,5,1,5,1,3,1,4,2,3,1,1,5,1,5,1,5,3,2,5,3
"60",4,4,4,2,5,2,4,4,3,4,5,4,5,2,3,3,5,4,4,4,3,3,3,4,2,5,4,4,4,2
"61",5,5,5,1,5,5,5,2,5,5,1,1,5,1,1,1,5,1,5,5,1,5,1,5,1,5,1,5,5,1
"62",4,5,4,2,4,2,2,5,4,2,5,1,4,1,2,2,4,4,4,1,2,5,4,4,2,5,4,5,5,4
"63",5,5,4,1,4,4,2,4,5,4,2,2,3,1,4,2,4,2,4,2,2,5,2,2,4,5,2,2,5,3
"64",4,4,4,5,5,5,1,5,1,2,4,3,1,3,4,4,2,4,2,2,5,2,5,3,5,4,4,2,4,4
"65",5,5,4,5,2,5,5,5,5,4,4,3,1,1,4,2,4,2,4,1,4,2,5,4,5,2,2,4,5,4
"66",5,5,2,2,2,4,5,5,5,4,2,4,2,2,4,2,4,2,4,4,3,2,4,4,4,2,4,5,2,3
"67",5,5,2,1,2,4,5,5,5,5,1,2,2,1,2,1,4,1,4,5,4,4,3,4,4,4,4,2,2,4
"68",4,4,5,5,5,5,1,4,1,1,4,5,1,5,5,5,1,3,1,2,4,1,5,1,5,1,5,4,2,3
"69",5,5,4,1,4,2,2,1,5,4,4,1,5,1,4,1,4,2,4,4,1,4,1,5,2,5,1,2,4,2
"70",5,5,2,5,4,5,4,5,4,4,2,5,1,5,5,2,4,1,2,4,5,1,5,1,5,1,5,1,1,5
"71",5,5,2,3,2,2,3,3,5,5,3,3,5,1,3,1,3,1,3,5,4,1,3,2,2,5,2,4,3,4
"72",4,5,4,1,4,2,3,2,4,4,4,1,5,1,3,2,4,2,4,4,2,3,2,4,2,5,2,3,4,4
"73",4,2,5,5,5,5,1,4,1,2,5,5,1,4,5,5,1,4,1,2,5,1,5,2,5,2,5,2,2,4
"74",5,5,5,1,5,4,1,2,1,5,2,1,5,1,5,1,5,2,5,5,2,2,2,5,1,5,1,5,1,1
"75",4,4,4,2,4,5,1,4,1,2,4,5,2,1,5,5,1,2,2,2,4,2,2,2,2,5,4,4,4,4
"76",1,5,2,1,5,1,5,1,1,5,2,1,5,1,5,3,5,1,5,5,1,4,1,5,1,5,1,5,5,1
"77",5,5,3,1,1,1,5,4,5,5,2,5,5,1,3,1,5,1,5,5,1,4,2,5,2,5,3,5,2,4
"78",5,5,5,4,5,4,4,5,3,1,3,3,2,3,3,4,3,5,3,3,5,3,3,4,3,3,3,1,5,3
"79",4,4,4,4,4,4,2,4,2,2,4,4,2,4,5,4,2,4,2,3,4,3,4,2,4,2,2,2,4,2
"80",5,5,3,5,4,4,2,5,5,4,2,4,2,2,3,2,4,1,4,5,4,4,2,4,4,4,2,5,2,4
"81",5,4,4,4,4,4,2,4,4,4,4,5,2,2,5,3,2,4,2,4,4,2,4,1,4,4,4,4,4,3
"82",5,3,5,5,5,5,1,4,1,2,4,5,1,2,5,5,2,5,1,4,5,2,5,1,5,2,5,2,2,4
"83",5,5,1,5,1,5,5,5,5,5,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,5,1,1,1,5
"84",5,4,5,5,5,5,1,5,4,2,2,5,1,5,5,5,1,4,1,1,5,1,5,4,5,2,4,1,2,4
"85",5,4,4,2,4,4,4,4,5,4,4,2,2,1,4,1,4,1,4,4,4,4,5,4,4,4,4,4,4,4
"86",5,5,2,5,1,5,5,5,5,5,1,5,1,4,5,1,5,1,5,5,5,1,5,3,5,4,4,4,2,5
"87",4,5,4,3,2,5,4,4,5,4,2,2,3,2,3,2,4,1,4,4,3,3,2,4,4,5,2,4,4,3
"88",5,5,5,5,5,5,1,5,2,2,4,5,1,5,5,5,2,4,1,4,5,1,5,1,5,4,5,2,4,4
"89",4,5,2,1,4,4,4,4,4,2,4,4,5,1,5,1,4,1,5,4,2,5,2,5,4,5,5,5,5,2
"90",4,4,4,1,4,5,4,4,4,2,4,2,4,1,1,3,2,1,4,2,2,5,1,4,4,4,2,5,4,2
"91",3,3,5,1,4,2,4,1,5,5,3,1,5,1,4,1,4,4,5,3,1,4,1,5,1,5,2,5,5,2
"92",4,4,1,1,5,4,1,5,1,2,4,5,2,1,5,5,2,4,2,2,5,5,5,4,4,5,3,2,5,5
"93",4,4,5,5,5,5,1,4,2,2,4,5,1,5,5,5,1,4,1,1,5,2,5,2,5,2,5,1,4,2
"94",5,4,5,5,5,5,1,4,1,1,4,4,1,4,5,5,1,4,1,1,5,1,5,2,5,2,4,1,4,4
"95",5,4,5,2,4,4,1,4,2,2,5,1,4,4,2,4,2,4,2,1,2,4,2,4,4,4,2,2,5,2
"96",5,4,2,1,4,4,4,5,5,2,2,3,2,1,2,2,4,1,4,4,4,5,3,4,4,4,3,4,5,3
"97",4,4,4,2,3,3,4,4,4,3,3,2,3,1,3,2,4,4,4,3,2,4,3,5,3,4,3,5,5,2
"98",2,3,3,1,3,4,3,3,5,4,3,3,5,3,4,1,5,3,5,3,2,5,1,5,3,5,3,5,3,2
"99",1,5,1,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,1,2,1,5,5,5,5,5,5,1
"100",5,5,2,5,4,4,4,5,5,5,1,5,2,4,4,1,5,1,4,5,1,1,4,3,5,4,4,4,1,5
"101",3,1,3,2,4,4,2,2,4,2,3,2,5,2,3,5,4,4,1,1,4,5,3,5,1,5,2,1,4,3
"102",4,4,5,4,4,4,2,5,4,4,4,4,1,4,5,5,4,3,2,2,5,4,5,4,5,4,5,4,2,4
"103",5,5,3,5,1,4,5,5,5,5,2,3,1,1,4,1,5,3,5,5,4,3,5,3,5,3,5,4,4,3
"104",4,4,4,4,4,4,5,5,5,5,1,4,2,2,2,1,5,1,5,5,4,4,4,4,4,5,4,4,2,4
"105",5,4,5,1,5,4,5,4,5,4,4,1,5,1,1,2,4,1,5,5,3,1,2,5,2,4,1,2,5,1
"106",4,5,2,2,2,4,4,5,5,4,2,2,2,2,2,1,4,1,4,4,4,4,4,4,4,4,2,2,4,4
"107",2,5,3,1,2,1,2,1,5,1,1,4,5,5,4,1,5,5,3,2,1,4,1,4,4,5,5,5,5,1
"108",4,4,4,3,4,4,4,4,4,4,4,3,2,2,3,2,3,3,4,2,3,4,4,4,4,3,3,2,4,4
"109",2,3,3,1,3,4,3,3,3,4,3,3,3,3,5,3,3,3,4,3,1,5,3,3,3,5,3,5,3,2
"110",1,2,1,1,1,5,4,1,5,4,1,4,5,2,1,1,5,1,5,3,2,4,1,3,1,5,3,3,1,3
"111",5,4,4,4,5,5,5,1,1,1,4,3,3,2,5,4,3,5,1,3,3,2,5,3,4,5,2,1,5,3
"112",4,4,5,1,4,2,4,1,4,2,4,2,5,1,1,2,5,2,4,4,1,3,1,4,1,5,2,2,5,2
"113",5,5,4,1,4,4,3,4,4,2,4,3,2,1,3,4,4,2,4,3,3,5,2,4,4,4,3,4,4,3
"114",4,4,4,5,5,5,1,5,2,2,4,4,2,3,5,4,1,4,1,2,5,2,5,3,4,2,3,1,4,2
"115",5,5,5,5,5,5,1,5,2,2,5,2,1,4,5,4,1,5,2,1,5,4,5,4,5,2,2,1,5,4
"116",2,1,4,5,5,5,1,4,1,1,2,5,1,5,5,5,1,5,2,1,5,2,5,1,5,2,5,1,5,1
"117",5,5,4,3,1,4,4,3,3,2,4,1,5,2,2,5,4,4,2,5,3,5,2,3,2,5,3,5,3,3
"118",5,2,4,4,4,2,4,4,4,2,4,2,5,2,2,2,4,2,4,4,2,4,2,5,1,5,2,5,5,2
"119",5,5,2,5,4,5,4,5,4,2,2,5,1,3,5,3,4,2,2,2,4,2,5,2,5,1,5,2,2,4
"120",5,5,4,4,4,5,2,5,4,2,2,4,1,4,5,4,2,3,2,4,4,1,4,2,5,1,4,3,2,4
"121",5,5,5,4,5,5,1,5,2,1,2,5,1,4,5,5,1,4,1,2,5,2,5,1,5,1,5,1,5,4
"122",5,5,1,5,4,4,5,5,5,5,1,4,2,2,4,1,5,1,2,5,4,1,4,2,5,4,2,4,1,4
"123",4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"124",4,5,2,1,4,2,4,2,5,4,2,4,5,1,1,1,5,1,5,5,2,5,1,5,1,5,2,4,1,2
"125",5,4,5,5,5,5,1,5,1,1,4,5,1,3,5,5,1,5,1,1,5,2,5,2,5,1,5,3,3,3
"126",5,5,2,4,2,4,4,5,5,4,4,4,2,2,5,4,4,2,4,5,4,4,4,5,5,5,2,1,4,4
"127",4,2,4,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,2,3,4,2,4,4,3,3,4,5,3
"128",5,4,5,5,4,5,2,5,2,1,1,5,1,5,5,5,1,5,1,2,5,2,5,1,5,1,5,1,1,4
"129",5,5,4,1,2,2,4,4,5,4,4,2,4,1,2,1,4,1,4,4,2,5,2,5,4,5,4,5,4,5
"130",5,5,5,5,5,5,1,5,2,2,5,5,1,5,5,5,1,4,1,1,5,1,5,2,5,2,5,1,2,4
"131",5,5,4,1,4,4,4,4,5,2,4,1,4,4,1,2,5,4,4,2,4,4,2,5,4,4,4,4,5,2
"132",5,5,2,4,2,4,5,5,5,5,1,4,2,1,2,2,4,1,5,5,4,3,2,2,5,5,2,4,4,5
"133",4,4,4,4,4,4,4,4,4,3,2,2,4,2,4,3,4,4,4,3,4,3,3,4,2,4,2,4,4,4
"134",1,5,1,1,5,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,1
"135",1,4,4,1,4,2,4,4,4,5,2,2,5,2,3,2,5,2,5,2,1,5,1,4,4,5,2,5,4,2
"136",5,5,5,5,5,5,2,5,1,1,4,5,1,1,5,5,2,2,1,2,5,1,5,1,5,1,5,2,1,5
"137",5,5,5,4,3,5,1,5,4,4,2,5,1,5,5,4,4,4,3,1,4,2,4,2,5,2,5,1,5,3
"138",3,4,4,1,4,1,2,2,4,2,5,2,5,1,1,2,3,4,5,3,1,3,1,5,1,5,2,4,5,1
"139",5,5,2,2,2,4,4,5,5,2,3,2,1,1,2,2,4,2,5,4,4,4,4,4,4,4,4,2,4,3
"140",4,5,4,4,4,1,1,2,4,3,3,3,5,1,4,2,5,1,4,4,1,3,1,4,1,5,2,4,1,5
"141",2,2,2,1,2,1,2,4,4,2,2,1,5,5,1,2,4,4,5,1,1,5,1,5,1,5,1,5,5,1
"142",3,5,3,3,4,3,3,3,3,1,2,2,5,1,1,1,3,4,4,5,3,5,2,4,2,5,1,3,5,2
"143",5,5,5,4,5,2,5,4,5,4,2,1,5,1,1,1,5,2,5,2,3,1,3,4,1,5,2,5,4,3
"144",4,2,4,3,2,2,5,4,5,3,2,4,2,2,3,2,5,2,5,4,3,4,3,4,3,3,3,5,3,4
"145",1,3,4,1,3,4,2,1,4,5,2,2,5,1,1,1,4,1,5,2,1,5,1,4,1,5,2,4,5,2
"146",4,4,4,4,4,3,4,4,4,3,2,3,4,3,3,2,4,3,2,2,3,2,2,3,4,4,2,4,4,4
"147",4,4,2,1,4,2,3,1,4,3,2,1,5,1,3,1,4,1,4,2,1,3,1,4,1,5,3,3,5,2
"148",4,5,2,1,4,1,4,4,5,4,4,1,5,1,2,2,5,2,5,5,2,5,1,5,2,5,2,4,2,4
"149",4,4,4,3,4,5,4,4,5,4,4,2,2,3,5,2,4,5,4,4,4,4,3,4,2,4,4,2,4,2
"150",4,4,5,5,5,4,1,5,1,2,5,5,1,2,5,4,1,4,2,1,5,2,5,1,5,4,4,2,5,4
"151",4,5,2,1,2,4,4,5,5,4,2,2,2,2,2,1,5,2,5,4,4,4,4,4,4,5,2,4,4,4
"152",5,5,2,5,4,5,5,5,5,5,2,4,1,4,5,1,4,2,2,5,5,2,5,2,5,2,5,2,2,5
"153",4,5,4,4,2,5,5,5,5,4,4,4,5,2,4,2,4,2,4,5,4,4,3,5,4,5,3,4,3,4
"154",5,3,4,5,4,5,1,5,1,2,5,5,1,5,5,5,1,4,1,1,5,1,5,2,5,3,5,4,1,4
"155",4,5,4,1,2,2,5,2,5,4,2,1,5,1,2,1,5,2,5,4,1,4,1,5,4,5,2,4,5,2
